city,lat,lon,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
vila,42.0304,-8.1588,66.2,34,0,17.27,PT,1613409437
sirjan,29.452,55.6814,54.18,32,0,2.37,IR,1613409437
petropavlovsk-kamchatskiy,53.0452,158.6483,5.0,72,0,8.95,RU,1613409438
torbay,47.6666,-52.7314,28.99,64,75,21.85,CA,1613409438
saskylakh,71.9167,114.0833,-22.52,86,100,9.64,RU,1613409438
butaritari,3.0707,172.7902,79.12,80,17,15.26,KI,1613409439
hualmay,-11.0964,-77.6139,77.79,61,2,9.8,PE,1613409439
ipixuna,-1.7625,-48.8043,78.8,89,75,6.91,BR,1613409439
margate,51.3813,1.3862,48.99,77,94,4.0,GB,1613409318
conakry,9.538,-13.6773,87.8,62,4,9.22,GN,1613409439
port blair,11.6667,92.75,78.55,82,9,9.13,IN,1613409439
sur,22.5667,59.5289,68.77,68,0,1.9,OM,1613409439
goderich,43.7501,-81.7165,17.6,73,100,9.22,CA,1613409440
nikolskoye,59.7035,30.7861,17.6,79,75,11.18,RU,1613409440
busselton,-33.65,115.3333,66.99,94,1,1.01,AU,1613409440
kansanshi,-12.0951,26.4273,68.18,76,20,2.91,ZM,1613409440
adrar,20.5022,-10.0711,83.8,13,26,19.15,MR,1613409440
provideniya,64.3833,-173.3,-1.1,81,61,16.13,RU,1613409440
hermanus,-34.4187,19.2345,66.99,59,6,3.0,ZA,1613409440
bluff,-46.6,168.3333,42.01,89,76,1.01,NZ,1613409441
nakamura,32.9833,132.9333,42.76,69,0,11.18,JP,1613409441
high level,58.5169,-117.136,-4.0,71,75,4.61,CA,1613409441
anchorage,61.2181,-149.9003,19.99,73,75,5.86,US,1613409304
caceres,39.522,-6.3748,62.01,61,68,5.99,ES,1613409441
tuktoyaktuk,69.4541,-133.0374,-23.8,76,75,4.38,CA,1613409441
broken hill,-31.95,141.4333,73.4,35,0,11.5,AU,1613409441
ushuaia,-54.8,-68.3,57.2,54,20,8.05,AR,1613409442
katobu,-4.9408,122.5276,76.89,88,96,2.06,ID,1613409442
namibe,-15.1961,12.1522,76.69,73,0,14.03,AO,1613409442
te anau,-45.4167,167.7167,41.36,86,40,6.02,NZ,1613409442
dikson,73.5069,80.5464,-24.7,81,100,3.51,RU,1613409442
songjianghe,42.1859,127.479,-1.59,90,99,6.15,CN,1613409442
saint-philippe,-21.3585,55.7679,78.8,73,0,4.61,RE,1613409443
albany,42.6001,-73.9662,26.01,66,100,2.08,US,1613409302
new norfolk,-42.7826,147.0587,55.99,76,95,1.34,AU,1613409443
mana,5.6592,-53.7767,80.06,72,99,14.27,GF,1613409443
kilimatinde,-5.85,34.95,69.31,89,55,2.64,TZ,1613409443
birjand,32.8663,59.2211,44.6,8,0,4.61,IR,1613409443
yellowknife,62.456,-114.3525,-14.01,84,20,8.05,CA,1613409339
ciudad ojeda,10.1964,-71.3082,86.79,62,75,6.71,VE,1613409444
leningradskiy,69.3833,178.4167,-15.68,87,0,4.45,RU,1613409444
ketchikan,55.3422,-131.6461,33.8,100,90,6.91,US,1613409444
leshukonskoye,64.8989,45.7622,-7.37,90,100,2.33,RU,1613409444
gidole,5.65,37.3667,72.48,42,83,0.63,ET,1613409444
livingston,55.9029,-3.5226,48.2,87,90,10.36,GB,1613409371
talara,-4.5772,-81.2719,89.6,48,0,10.36,PE,1613409444
sobolevo,54.4299,31.8996,-0.44,93,98,5.91,RU,1613409445
nanortalik,60.1432,-45.2371,22.84,85,0,21.3,GL,1613409445
vila franca do campo,37.7167,-25.4333,59.0,58,20,20.71,PT,1613409445
east london,-33.0153,27.9116,69.8,60,75,17.27,ZA,1613409193
kapaa,22.0752,-159.319,66.2,94,20,6.91,US,1613409445
kaitangata,-46.2817,169.8464,48.99,67,80,4.0,NZ,1613409445
karimpur,23.9667,88.6167,65.44,30,0,6.55,IN,1613409446
mataura,-46.1927,168.8643,42.01,89,28,1.01,NZ,1613409446
hithadhoo,-0.6,73.0833,83.17,71,57,4.83,MV,1613409446
manokwari,-0.8667,134.0833,77.65,82,100,10.83,ID,1613409447
port elizabeth,-33.918,25.5701,68.0,68,0,16.11,ZA,1613409447
qaanaaq,77.484,-69.3632,-5.64,88,93,2.01,GL,1613409447
clyde river,70.4692,-68.5914,-18.4,76,20,7.34,CA,1613409447
banjarmasin,-3.3244,114.591,73.4,100,40,3.44,ID,1613409423
imeni poliny osipenko,52.4201,136.4853,-0.4,91,87,13.71,RU,1613409448
rikitea,-23.1203,-134.9692,79.23,79,50,15.77,PF,1613409448
tiksi,71.6872,128.8694,-7.87,91,100,10.11,RU,1613409448
gull lake,50.1001,-108.4847,-4.0,59,1,24.16,CA,1613409448
saint anthony,45.0205,-93.218,-6.0,54,1,3.44,US,1613409448
yarada,17.65,83.2667,73.4,88,0,2.3,IN,1613409448
bay-khaak,51.1667,94.5,2.79,89,53,2.53,RU,1613409449
georgetown,5.4112,100.3354,80.6,69,20,3.44,MY,1613409184
cidreira,-30.1811,-50.2056,82.92,56,54,7.36,BR,1613409449
opuwo,-18.0607,13.84,84.67,25,99,16.73,NA,1613409449
constitucion,-35.3333,-72.4167,65.28,65,18,6.78,CL,1613409449
port lincoln,-34.7333,135.8667,65.62,76,92,9.42,AU,1613409449
caravelas,-17.7125,-39.2481,84.2,60,69,10.71,BR,1613409449
barrow,71.2906,-156.7887,-14.8,76,20,11.5,US,1613409450
nabire,-3.3667,135.4833,75.79,89,100,3.2,ID,1613409376
westport,41.1415,-73.3579,35.6,69,90,9.22,US,1613409452
soyo,-6.1349,12.3689,82.49,74,91,9.06,AO,1613409452
kutulik,53.3508,102.7839,-7.56,89,100,4.76,RU,1613409453
mahebourg,-20.4081,57.7,80.6,78,75,2.3,MU,1613409454
pacific grove,36.6177,-121.9166,55.4,94,90,6.4,US,1613409454
temecula,33.4936,-117.1484,52.0,71,1,5.7,US,1613409191
tilichiki,60.4667,166.1,-9.33,90,17,7.99,RU,1613409454
belaya gora,68.5333,146.4167,-29.33,85,0,3.04,RU,1613409454
bambous virieux,-20.3428,57.7575,81.0,78,75,2.3,MU,1613409454
cherskiy,68.75,161.3,-11.33,90,100,4.14,RU,1613409455
geraldton,-28.7667,114.6,71.6,88,0,4.61,AU,1613409455
rongcheng,30.634,117.8517,48.67,81,100,2.01,CN,1613409455
taoudenni,22.6783,-3.9836,78.46,18,0,24.87,ML,1613409456
hearst,49.6835,-83.6665,-5.8,65,100,8.05,CA,1613409456
hirado,33.3597,129.5531,44.01,25,0,5.01,JP,1613409456
hamilton,39.1834,-84.5333,23.0,73,90,16.11,US,1613409302
bengkulu,-3.8004,102.2655,77.29,89,100,4.88,ID,1613409456
bergen,60.392,5.328,37.0,93,75,11.5,NO,1613409457
bor,56.3567,44.0669,-2.2,84,0,6.71,RU,1613409457
kichmengskiy gorodok,59.9816,45.7854,-9.53,90,98,5.61,RU,1613409457
jamestown,42.097,-79.2353,25.0,80,90,4.88,US,1613409197
arraial do cabo,-22.9661,-42.0278,75.2,94,90,10.36,BR,1613409457
thompson,55.7435,-97.8558,-9.4,77,90,3.44,CA,1613409457
vaini,-21.2,-175.2,71.6,100,20,3.44,TO,1613409458
bathsheba,13.2167,-59.5167,84.2,51,40,23.02,BB,1613409458
cockburn town,21.4612,-71.1419,78.06,77,40,22.19,TC,1613409458
sorland,67.667,12.6934,37.4,75,0,17.27,NO,1613409458
sri aman,1.2376,111.4621,71.6,100,96,1.36,MY,1613409459
cumra,37.5732,32.7745,28.4,80,75,23.02,TR,1613409459
norman wells,65.282,-126.8329,-7.6,77,90,3.44,CA,1613409460
port alfred,-33.5906,26.891,68.0,82,32,5.01,ZA,1613409453
inuvik,68.3499,-133.7218,-5.8,77,100,2.3,CA,1613409460
hami,42.8,93.45,30.52,81,0,2.19,CN,1613409461
faanui,-16.4833,-151.75,82.08,72,100,13.11,PF,1613409461
cabo san lucas,22.8909,-109.9124,70.0,59,1,4.61,MX,1613409462
amazar,53.858,120.875,-15.86,83,96,5.53,RU,1613409462
ribeira grande,38.5167,-28.7,57.2,62,20,16.11,PT,1613409462
birao,10.2849,22.7882,88.2,14,51,4.32,CF,1613409462
avarua,-21.2078,-159.775,77.0,94,20,3.44,CK,1613409462
santa maria del oro,25.9333,-105.3667,50.14,48,17,1.7,MX,1613409463
la ronge,55.1001,-105.2842,-16.6,76,0,1.14,CA,1613409463
san policarpo,12.1791,125.5072,79.14,81,83,15.05,PH,1613409463
hobart,-42.8794,147.3294,59.0,82,75,5.75,AU,1613409354
havre-saint-pierre,50.2334,-63.5986,10.4,56,90,8.05,CA,1613409463
cayenne,4.9333,-52.3333,84.2,65,75,17.27,GF,1613409463
san cristobal,7.7669,-72.225,84.2,54,40,6.91,VE,1613409465
vardo,70.3705,31.1107,28.4,64,75,20.71,NO,1613409465
nome,64.5011,-165.4064,6.8,72,1,6.53,US,1613409465
alcudia,39.8532,3.1214,52.0,64,72,1.99,ES,1613409465
ukiah,39.1502,-123.2078,50.0,93,90,7.81,US,1613409465
punta arenas,-53.15,-70.9167,59.0,51,75,20.71,CL,1613409466
russell,32.3502,-85.1999,50.0,87,90,6.91,US,1613409302
puerto ayora,-0.7393,-90.3518,82.4,69,20,5.75,EC,1613409466
hilo,19.7297,-155.09,69.01,72,1,3.44,US,1613409466
shepsi,44.0361,39.1489,29.17,96,100,13.27,RU,1613409466
sampit,-2.5333,112.95,74.8,96,66,1.03,ID,1613409467
atuona,-9.8,-139.0333,78.19,79,21,13.15,PF,1613409467
kearney,40.6995,-99.0815,-16.6,69,1,3.44,US,1613409366
shumskiy,54.8318,99.1328,4.17,92,100,6.42,RU,1613409467
cape town,-33.9258,18.4232,71.01,49,20,24.16,ZA,1613409382
fort nelson,58.8053,-122.7002,-7.6,77,90,2.53,CA,1613409467
shaowu,27.3409,117.4831,54.23,70,0,1.54,CN,1613409311
kimbe,-5.5502,150.1429,76.93,86,97,2.13,PG,1613409467
notre-dame-de-gravenchon,49.4894,0.5719,50.0,81,90,11.5,FR,1613409468
poli,-3.3333,36.8,66.54,75,89,2.84,TZ,1613409468
naze,28.3667,129.4833,54.41,76,14,16.42,JP,1613409468
grindavik,63.8424,-22.4338,41.0,87,75,18.41,IS,1613409468
pangnirtung,66.1451,-65.7125,-11.2,64,1,2.42,CA,1613409468
strezhevoy,60.7333,77.5889,15.8,79,0,11.18,RU,1613409244
nishihara,26.1842,127.7558,62.6,58,20,5.75,JP,1613409469
asfi,32.2994,-9.2372,66.88,62,0,6.58,MA,1613409469
kindu,-2.95,25.95,77.9,75,100,0.27,CD,1613409469
beloha,-25.1667,45.05,78.01,68,95,13.24,MG,1613409469
doha,25.2867,51.5333,69.8,78,0,5.75,QA,1613409469
skelleftea,64.7507,20.9528,19.99,86,0,6.91,SE,1613409470
ghanzi,-21.5667,21.7833,75.87,58,54,7.52,BW,1613409470
siavonga,-16.5382,28.7088,82.49,65,29,7.4,ZM,1613409470
lasa,46.6166,10.7002,36.0,50,0,5.12,IT,1613409470
jumla,29.2747,82.1838,36.37,77,41,2.98,NP,1613409471
vestmannaeyjar,63.4427,-20.2734,44.6,87,75,17.27,IS,1613409471
sarangani,5.4033,125.4636,82.45,74,90,10.42,PH,1613409471
vyartsilya,62.1764,30.693,19.99,97,100,9.37,RU,1613409471
castro,-24.7911,-50.0119,78.66,54,5,9.08,BR,1613409472
bredasdorp,-34.5322,20.0403,68.0,49,13,8.05,ZA,1613409472
longyearbyen,78.2186,15.6401,26.6,93,75,4.61,SJ,1613409472
natal,-5.795,-35.2094,87.8,62,20,16.11,BR,1613409472
banjar,-8.19,114.9675,80.6,83,40,2.3,ID,1613409472
seddon,-37.8068,144.8916,61.0,88,71,4.61,AU,1613409473
alofi,-19.0595,-169.9187,71.6,100,40,1.14,NU,1613409473
honiara,-9.4333,159.95,78.13,81,98,2.26,SB,1613409473
loikaw,19.6742,97.2094,60.3,43,0,3.2,MM,1613409473
blagoveshchensk,50.2667,127.5333,-13.0,77,20,6.71,RU,1613409473
carcassonne,43.25,2.1667,46.99,81,90,14.97,FR,1613409473
cawayan,9.9718,122.6249,77.5,84,100,5.82,PH,1613409473
okha,53.5739,142.9478,2.14,94,65,9.28,RU,1613409474
morant bay,17.8815,-76.4093,88.0,70,40,23.02,JM,1613409474
chokurdakh,70.6333,147.9167,-16.8,88,82,4.25,RU,1613409474
barra do garcas,-15.89,-52.2567,87.8,58,75,4.61,BR,1613409474
khatanga,71.9667,102.5,-33.65,81,0,8.25,RU,1613409474
gat,31.61,34.7642,60.01,20,1,2.26,IL,1613409475
vila velha,-20.3297,-40.2925,89.01,58,20,18.41,BR,1613409475
lomovka,53.9194,58.3672,-2.2,71,20,8.95,RU,1613409476
kavieng,-2.5744,150.7967,82.72,75,99,7.43,PG,1613409476
mayor pablo lagerenza,-19.9309,-60.7718,86.14,58,100,6.44,PY,1613409476
poso,-1.3959,120.7524,81.0,79,100,3.58,ID,1613409476
muros,42.7762,-9.0603,64.0,39,0,8.05,ES,1613409477
tasiilaq,65.6145,-37.6368,32.0,93,90,7.16,GL,1613409477
gasa,31.5,34.4667,60.01,25,0,2.8,PS,1613409298
fortuna,40.5982,-124.1573,53.01,100,90,6.91,US,1613409477
honningsvag,70.9821,25.9704,26.6,80,75,4.61,NO,1613409477
yeppoon,-23.1333,150.7333,73.4,78,40,10.36,AU,1613409477
aduturai,11.0147,79.4791,72.84,82,44,6.42,IN,1613409477
lorengau,-2.0226,147.2712,81.3,83,100,11.72,PG,1613409477
hun,29.1268,15.9477,51.37,45,92,19.48,LY,1613409478
toktogul,41.8708,72.9402,37.17,68,13,3.24,KG,1613409478
chuy,-33.6971,-53.4616,80.02,65,53,6.71,UY,1613409478
kodiak,57.79,-152.4072,33.8,86,75,3.44,US,1613409478
hirara,24.8,125.2833,65.75,70,12,18.72,JP,1613409478
mlalo,-4.9333,38.9333,77.36,81,34,4.41,TZ,1613409479
dolny kubin,49.2098,19.3034,23.0,74,0,3.44,SK,1613409479
touros,-5.1989,-35.4608,87.8,58,40,17.27,BR,1613409479
ostrovnoy,68.0531,39.5131,11.52,94,100,14.54,RU,1613409479
eureka,40.8021,-124.1637,53.01,97,100,4.0,US,1613409347
pucallpa,-8.3791,-74.5539,87.8,70,75,8.05,PE,1613409480
seydi,39.4816,62.9137,58.82,34,87,6.04,TM,1613409480
calamar,10.2511,-74.9146,87.8,70,40,11.5,CO,1613409481
lebu,-37.6167,-73.65,62.94,57,0,13.24,CL,1613409481
klyuchevskiy,53.5317,119.4519,-16.04,86,100,4.94,RU,1613409481
cuauhtemoc,28.4167,-106.8667,39.56,66,59,7.54,MX,1613409481
airai,-8.9266,125.4092,59.99,100,100,2.8,TL,1613409481
carnarvon,-24.8667,113.6333,78.8,83,75,11.5,AU,1613409482
ponta do sol,32.6667,-17.1,66.2,72,20,11.5,PT,1613409203
bandarbeyla,9.4942,50.8122,75.49,77,47,12.62,SO,1613409482
severo-kurilsk,50.6789,156.125,21.06,89,28,5.88,RU,1613409482
lata,40.1629,-8.3327,68.0,45,0,12.66,PT,1613409483
mucurapo,10.6667,-61.5333,86.0,54,40,19.57,TT,1613409483
winnemucca,40.973,-117.7357,41.0,81,90,8.05,US,1613409483
bereda,43.2686,-7.5406,66.2,37,0,14.97,ES,1613409484
ancud,-41.8697,-73.8203,66.2,45,0,8.05,CL,1613409484
marfino,55.7028,37.3822,1.4,78,0,6.71,RU,1613409484
coquimbo,-29.9533,-71.3436,71.6,56,20,12.66,CL,1613409484
souillac,-20.5167,57.5167,80.6,78,75,2.3,MU,1613409484
molepolole,-24.4066,25.4951,77.0,78,40,2.3,BW,1613409484
northam,51.0333,-4.2167,51.01,87,99,8.99,GB,1613409485
terrak,65.087,12.3715,30.2,69,0,1.14,NO,1613409485
severo-yeniseyskiy,60.3725,93.0408,-9.45,90,100,6.8,RU,1613409485
stornoway,58.2093,-6.3865,46.99,93,75,19.57,GB,1613409432
mae ramat,16.984,98.5166,67.08,61,0,1.45,TH,1613409485
saint pete beach,27.7253,-82.7412,79.0,83,40,13.8,US,1613409485
say,13.1007,2.3689,98.6,8,0,9.22,NE,1613409485
ouargaye,11.5033,0.0572,100.78,8,5,7.61,BF,1613409486
gobabis,-22.45,18.9667,76.96,35,27,11.61,NA,1613409486
tam ky,15.5667,108.4833,66.2,94,20,3.71,VN,1613409486
ormara,25.2088,64.6357,72.03,77,0,11.41,PK,1613409486
chistoye,56.5375,43.0045,-2.2,84,0,6.71,RU,1613409486
esperance,-33.8667,121.9,66.2,59,0,12.66,AU,1613409487
benjamin hill,30.1667,-111.1,57.99,32,85,1.99,MX,1613409487
sisimiut,66.9395,-53.6735,5.72,84,80,13.87,GL,1613409488
north bend,43.4065,-124.2243,48.99,93,90,10.36,US,1613409488
lauro muller,-28.3928,-49.3967,84.4,44,23,4.34,BR,1613409488
sao filipe,14.8961,-24.4956,73.53,66,88,9.35,CV,1613409488
codrington,-38.2667,141.9667,58.41,88,88,8.86,AU,1613409489
iwanai,42.9744,140.5089,40.06,91,100,4.34,JP,1613409210
hovd,48.0056,91.6419,13.35,85,20,1.59,MN,1613409489
chicama,-7.8447,-79.1469,71.6,83,40,10.36,PE,1613409489
bilma,18.6853,12.9164,78.89,14,45,10.13,NE,1613409489
dalvik,65.9702,-18.5286,41.0,70,75,16.11,IS,1613409489
katsuura,35.1333,140.3,55.99,54,0,20.0,JP,1613409489
dudinka,69.4058,86.1778,-15.5,81,100,12.28,RU,1613409489
mar del plata,-38.0023,-57.5575,69.8,94,75,9.22,AR,1613409490
yerofey pavlovich,53.9667,121.9667,-21.19,82,93,3.85,RU,1613409491
abalak,58.1286,68.5944,4.24,94,93,10.36,RU,1613409491
otane,-39.8833,176.6333,64.0,97,100,5.99,NZ,1613409491
upernavik,72.7868,-56.1549,-4.65,90,95,6.26,GL,1613409491
corinto,37.9407,22.9573,37.0,93,90,11.5,GR,1613409491
solenzo,12.1833,-4.0833,101.98,9,3,8.3,BF,1613409491
klaksvik,62.2266,-6.589,44.6,100,90,16.11,FO,1613409491
gimli,50.6336,-96.9907,-13.0,64,0,5.75,CA,1613409491
salalah,17.0151,54.0924,75.2,64,0,1.92,OM,1613409492
saint-augustin,51.226,-58.6502,10.74,89,0,10.25,CA,1613409492
kavaratti,10.5669,72.642,81.73,60,20,6.44,IN,1613409492
joao pinheiro,-17.7425,-46.1725,79.93,70,99,6.29,BR,1613409492
dunedin,-45.8742,170.5036,51.01,67,94,1.99,NZ,1613409492
nevel,56.0209,29.9284,1.56,94,86,4.34,RU,1613409492
szczytno,53.5626,20.9875,28.4,93,75,1.14,PL,1613409492
hervey bay,-25.2986,152.8535,69.01,86,11,1.01,AU,1613409492
buchanan,5.8808,-10.0467,83.48,76,54,8.21,LR,1613409493
wolfen,51.6667,12.2833,30.0,87,100,1.01,DE,1613409493
jalu,29.0331,21.5482,52.48,72,87,17.38,LY,1613409493
axim,4.8699,-2.2405,83.61,76,58,7.76,GH,1613409493
sambalpur,21.45,83.9667,69.64,34,0,1.32,IN,1613409493
boende,-0.2167,20.8667,80.51,72,100,0.47,CD,1613409493
colesberg,-30.72,25.0972,60.1,62,47,33.76,ZA,1613409493
korla,41.7597,86.1469,34.07,79,26,1.72,CN,1613409494
kemise,10.7167,39.8667,71.02,23,10,3.29,ET,1613409494
aketi,2.7388,23.7833,87.28,40,100,3.62,CD,1613409494
palmer,42.1584,-72.3287,32.0,64,90,6.91,US,1613409495
stromness,58.965,-3.296,42.8,87,20,16.11,GB,1613409490
saint-leu,-21.15,55.2833,78.8,73,0,4.61,RE,1613409496
campbell river,50.0163,-125.2446,34.0,100,90,2.3,CA,1613409496
saldanha,-33.0117,17.9442,68.0,49,0,18.41,ZA,1613409496
huarmey,-10.0681,-78.1522,77.65,61,0,9.6,PE,1613409497
bam,29.106,58.357,55.87,30,0,0.87,IR,1613409497
port-gentil,-0.7193,8.7815,84.2,79,40,10.36,GA,1613409497
bani,18.2833,-70.3333,84.99,70,75,11.5,DO,1613409497
pevek,69.7008,170.3133,-18.96,87,14,1.48,RU,1613409497
